Rk,Player,Season,Age,Tm,Lg,PER,G,GS,MP,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
14,Andre Drummond,2013-14,20,DET,NBA,22.6,81,81,2619,0.003,0.427,17.5,27.7,22.3,2.2,2,4,10.7,16.7,121,104,6.4,3.5,9.9,0.182,1.1,0.5,1.6,2.4
15,LaMarcus Aldridge,2013-14,28,POR,NBA,21.8,69,69,2498,0.011,0.253,7.2,25.5,16.5,13,1.3,1.9,7.2,29.8,108,104,4,3.5,7.5,0.144,-0.4,0.7,0.3,1.5
16,Goran Dragic,2013-14,27,PHO,NBA,21.4,76,75,2668,0.274,0.381,2.9,7.4,5.2,28.1,2,0.6,14.3,24.5,119,109,8.4,2,10.3,0.186,4.9,-1.1,3.9,4
17,Tim Duncan,2013-14,37,SAS,NBA,21.3,74,74,2158,0.006,0.349,8.6,28.3,18.8,16,1,4.6,13.2,25.2,106,98,2.8,4.6,7.4,0.164,-0.9,4,3.2,2.8
18,Dwight Howard,2013-14,28,HOU,NBA,21.3,71,71,2396,0.009,0.798,11.4,27.9,20.1,9.3,1.2,4,17.5,24,109,101,4,4.1,8,0.161,-0.3,2.2,1.9,2.4
19,Isaiah Thomas,2013-14,24,SAC,NBA,20.5,72,54,2497,0.332,0.371,2.1,7.5,4.7,32.2,1.9,0.3,14.3,26.3,114,111,6.4,1.3,7.7,0.149,5,-2.1,2.9,3.1
20,Paul George,2013-14,23,IND,NBA,20.1,80,80,2898,0.367,0.341,2.6,17.7,10.5,17.9,2.7,0.6,12.5,28.3,107,97,4.4,6.4,10.8,0.178,2.9,1.8,4.7,4.9
1,Anthony Davis,2014-15,21,NOP,NBA,30.8,68,68,2455,0.01,0.384,8,24.1,16.1,11.6,2.1,6.2,6.3,27.8,122,100,9.9,4.2,14,0.274,4.2,3,7.1,5.7
2,Russell Westbrook,2014-15,26,OKC,NBA,29.1,67,67,2302,0.196,0.445,5.9,16.7,11.4,47,3,0.5,14.3,38.4,111,103,7.5,3.2,10.6,0.222,8.8,2.2,11,7.6
3,Stephen Curry,2014-15,26,GSW,NBA,28,80,80,2613,0.482,0.251,2.4,11.4,7,38.6,3,0.5,14.3,28.9,122,101,11.5,4.1,15.7,0.288,9.6,0.3,9.9,7.9
4,James Harden,2014-15,25,HOU,NBA,26.7,81,81,2981,0.378,0.561,2.8,14.2,8.5,34.6,2.6,1.6,14.9,31.3,118,103,12.2,4.2,16.4,0.265,7.4,1,8.4,7.8
5,Chris Paul,2014-15,29,LAC,NBA,26,82,82,2857,0.298,0.274,2.1,12.5,7.4,47.4,2.8,0.4,12.7,23.7,126,105,12.9,3.2,16.1,0.27,7.5,0,7.5,6.9
6,LeBron James,2014-15,30,CLE,NBA,25.9,69,69,2493,0.265,0.413,2.4,16.6,9.6,38.6,2.3,1.6,15.3,32.3,112,105,7.4,2.9,10.4,0.199,6.2,1.2,7.4,5.9
7,DeMarcus Cousins,2014-15,24,SAC,NBA,25.2,59,59,2013,0.008,0.508,10.8,30.6,21.1,20.4,2.3,4,16.3,34.1,104,101,2.8,3.2,6,0.144,1.4,3.3,4.7,3.4
8,LaMarcus Aldridge,2014-15,29,POR,NBA,22.8,71,71,2512,0.074,0.256,7.7,22.9,15.5,9.2,1,1.9,7.2,30.2,108,102,4.9,3.7,8.6,0.165,0.3,0,0.3,1.4
9,Blake Griffin,2014-15,25,LAC,NBA,22.8,67,67,2356,0.022,0.373,6.1,17.9,12.1,26.2,1.4,1.2,10.2,28.4,113,106,6.6,2.4,9,0.183,3.1,1,4.1,3.6
